"著者","題目","出典","要約","年月","DOI/Handle"
"M.Hattori, A. Tsujii, T. Kasashima, H. Hatano, T. Yamazato","Method for considering angle error in the position estimation of a moving target using ultrasonic array","International Conference on Emerging Technologies for Communications (ICETC), I2-4, Online","In this study, a method for reducing the angle error in the position estimation of a target is proposed. In this method, the distance between the transmitting array and the target approximates two receiving sensors close to the transmitting array. This enables the attainment of a more accurate distance between the receiving sensor and the target.","2020年12月","10.34385/proc.63.I2-4,"
"S. Arai, T. Yamazato, H. Hatano, M. Saito, H. Tanaka, Y. Tadokoro","Preliminary Circuit Experiment of Photodiode-Type Visible Light Communication by Stochastic Resonance Using Interfering Light as Intentional Noise","International Symposium on Nonlinear Theory and its Application (NOLTA), pp.97-100, online","","2020年11月",","
"S. Horiuchi, H. Hatano, K. Sanada, K. Mori, T. Yamazato, A. Shintaro, M. Saito, Y. Tadokoro, H. Tanaka","RSSI-based Distance Estimation Enhanced by Interference Signals","International Symposium on Nonlinear Theory and its Application (NOLTA), pp.101-104, online","","2020年11月",","
"M. Saito, T. Ohtaguro, Y. Nakashima, T. Yamazato, S. Arai, H. Hatano, H. Tanaka, Y. Tadokoro","A Study on Required FFT Sizes for Demodulation of OFDM Signals by Intentionally Added Noise and 1bit ADC","International Symposium on Nonlinear Theory and its Application (NOLTA), pp.105-108, online","","2020年11月",","
"有末知矢，木下雅之，山里敬也，岡田啓，鎌倉浩嗣，荒井伸太郎，圓道知博，藤井俊彰","移動環境におけるDMDプロジェクタを用いたイメージセンサ可視光通信の性能評価実験","電子情報通信学会論文誌, vol.J103-A, no.11, pp.283-286","本研究では，画像の高速・高輝度投映が可能なDMD (Digital Micromirror Device)プロジェクタをITS (Intelligent Transport Systems)イメージセンサ可視光通信の送信機として応用することを検討する．実機を用いて構築したシステムにより，屋外移動環境において行った通信性能評価について報告する．","2020年11月","10.14923/transfunj.2020JAL2005,"
"T. Yamazato","Image sensor communications for automotive intelligence","International Conference on Optoelectronic and Microelectronic Technology and Application 2020, Nanjing, China","Almost once per decade, cellular mobile communication is transformed by a significant evolution, with each generation developing a distinctive concept or technology.
Interestingly, similar trends have occurred in visible light communication systems and vehicle automation.
In this talk, the presenter looks back to the brief history of vehicle automation and related communication technologies. He then introduces visible light communication and its application for automotive intelligence. Some of his research results on VLC for automotive applications will also be provided.  ","2020年10月",","
"Ruiyi Huang","Stereo Vision Based  Visible Light Communication System","master thesis","","2020年9月",","
"桶間椋，五藤大介，山里敬也，山下史洋，糸川喜代彦","［奨励講演］深層学習を用いた複数衛星における重畳LEO-MIMO制御信号のドップラーシフト推定","電子情報通信学会技術研究報告, SAT2020-19, pp.47-52, オンライン","低軌道(LEO)衛星通信の大容量化を目的としてLEO衛星にMIMO(Multi-Input Multi-Output)技術を適用することを考える．
従来研究において，LEO-MIMO信号のドップラーシフトを推定する為に各衛星毎に個別の周波数帯域を割り当て識別用の制御信号を送信していた．
これによりLEO-MIMOにおける干渉が避けられ大容量化が可能となる．
しかしMIMOを行う衛星数が増加すると制御信号に割り当てる帯域幅が増加し，データ送信用の帯域幅が狭まり，システム全体の通信容量が低下するという課題が存在する．
そこで，本研究では，各LEO衛星の制御信号を重畳させ，制御信号の帯域幅をLEO衛星数に依らず一定とすることで通信容量の低下の改善を試みる．
具体的には，重畳制御信号からのドップラーシフト推定に焦点を当て，深層学習を用いたブラインド推定を提案する．
これまで，衛星2基における有効性を確認してきた．本稿では3基以上の重畳制御信号に対する推定を検討する．
また，推定推定精度の向上の為に畳み込みニューラルネットワークを採用し，深層ニューラルネットワークとの比較を行う． ","2020年8月",","
"Z. Tang, S. Arai, T. Yendo, D. He, T. Yamazato","Sequential Maximum Likelihood Decoding Incorporating Reliability Determination for Image Sensor Communication","IEICE Communications Express, vol.9, no.8, pp.365-370","","2020年8月","10.1587/comex.2020XBL0058,"
"山里敬也","可視光通信の現状と課題","日本写真測量学会北信越支部 共催　2020年度第2回 空間情報セミナー, オンライン","","2020年7月",","
"中島康雄，山里敬也，荒井伸太郎，齋藤将人，羽多野裕之，田中宏哉，田所幸浩","マルチアンテナ受信機における雑音を利用した1bitアナログ-ディジタル変換器の特性解析","電子情報通信学会技術研究報告, CS2020-20, pp.25-26, 利尻,オンライン(同時開催)","分解能が1bitのアナログ-ディジタル変換器(ADC)を用いた受信機は，ミリ波通信におけるマルチアンテナ受信機など，省電力性や高速化が容易という点から高分解能ADCの利用が難しい状況における代替手段として検討されている．一方で1bit~ADCを用いる場合，復調される信号に非線形性が生じるが，理論的な枠組みからその非線形性について検討した研究は不十分な点がある．
本稿では，1bit ADCを用いたマルチアンテナ受信機の特性について，雑音によって非線形系の特性が改善する確率共鳴の原理に注目することで理論解析を行う．
","2020年7月",","
"T. Yamazato","Visible light beacon","Signal Processing in Photonic Communications (SPPCom), The 2020 OSA Advanced Photonics Congress, 2020., Online","Since the LED (light-emitting diode) is a semiconductor device, high-speed modulation is possible. The communication for transmitting information by blinking (modulating) the LED at such a high speed that the human eye cannot recognize is called visible light communication (VLC) [1]. The visible light beacon is an exciting application of VLC that transmits the short ID.  In this article, the trend of the visible light beacon, a part of VLC is described.","2020年7月",","
"K. Takahashi, K. Kamakura, M. Kinoshita, T. Yamazato","Nonlinear Transform for Parallel Transmission for Image-Sensor-based Visible Light Communication","IEEE International Conference on Communications (ICC), online","","2020年6月","10.1109/ICC40277.2020.9148927,"
"中島康雄，山里敬也，荒井伸太郎，齋藤将人，羽多野裕之，田中宏哉，田所幸浩","雑音を活用した1bit ADC受信機と線形受信機の比較","電子情報通信学会 総合大会, B-8-38,  p.185, 広島","非線形性が雑音によって改善される現象を確率共鳴という．この現象により，分解能が1bitのアナログ-ディジタル変換器(1bit ADC)を用いた受信機においても，振幅が変動する信号を復調可能になる．
1bit ADCを用いた受信機は，広帯域な場合など高分解能ADCの利用が難しい状況における代替手段として検討されている.
一方で，雑音によって特性が改善する現象に着目して理論的な枠組みからその性能について検討した研究は少ない．本稿では，自身の先行研究で提案した，雑音が加わった場合の1bit ADCの入出力特性の解析手法を用いて，1bit ADC受信機と線形受信機の性能差について議論する．","2020年3月",","
"Y.H.J Lai, A. Tsujii, T. Kasashima, T. Yamazato, H. Hatano","Distance and Velocity Measurement of Approaching Target Via 45 kHz Ultrasonic Sensor Array","IEICE General Conference, A-4-2, p.35, Hiroshima, Japan","Ultrasonic sensors are an attractive option for target detection purposes due to their low cost, functionality in all light and weather conditions and easy implementation. Multiple ultrasonic sensors arranged in an array were shown to strengthen ultrasonic waves and increase detection range at static conditions in an indoor environment. In this article, we report a conducted experiment on a moving target in an outdoor environment to analyze its performance and will aim to use the obtained data for localization in future works.","2020年3月",","
"R. Huang, M. Kinoshita, T. Yamazato, H. Okada, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Range Estimation of LED Transmitter Using Phase-Only Correlation for ITS-VLC System via High-speed Stereo Cameras","IEICE General Conference, A-9-21, p.100, Hiroshima, Japan","","2020年3月",","
"齋藤将人，中島康雄，山里敬也，荒井伸太郎，羽多野裕之，田中宏哉，田所幸浩","雑音と1bit ADCを用いたOFDM信号復調の所要FFTサイズに関する一検討","電子情報通信学会 総合大会, A-9-11, p.90, 広島","","2020年3月",","
"高木雅史，荒井伸太郎，山里敬也，羽多野裕之，齋藤将人，田中宏哉，田所幸浩","干渉光を雑音として利用した確率共鳴現象によるフォトダイオード型可視光通信の一検討","電子情報通信学会 総合大会, A-9-23, p.102, 広島","","2020年3月",","
"堀内星哉，羽多野裕之，眞田耕輔，森香津夫，山里敬也，荒井伸太郎，齋藤将人，田所幸浩，田中宏哉","RSSIに基づく距離測定技術のための干渉信号を用いたDither法の適用に関する研究","電子情報通信学会 総合大会, A-14-1, p.118, 広島","","2020年3月",","
