"K. Nakamura, T. Yamazato, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","LED array acquisition in Road to Vehicle Visible Light Communication when receiver crosses transmitter","International Conference on Emerging Technologies for Communications (ICETC), online","Intelligent Transport Systems Visible Light Communication (ITS-VLC) is attracting significant attention as a solution to solve various problems that vehicles have, or for the installation of new systems in the vehicles. In ITS-VLC, the acquisition of the VLC transmitter via
light-emitting diodes (LEDs) in the onboard camera’s captured image is the first and essential step when receiving the VLC signal. Most of the previous research on the acquisition of the LEDs assumes that the vehicles approach the LEDs source from the front of the vehicle. However, there are many situations in which vehicles cross the LEDs. In this study, we considered a case in which the vehicle’s receiver crosses the LED transmitter. We modified the acquisition algorithm based on the spatial-temporal gradient utilized in our model in which the transmitter and the receiver cross each other. We found that we can acquire the transmitter by correcting the difference of the ransmitter’s position in the captured image. When validating the specific signal, we achieved 100% acquisition success rate.","Dec. 2021","https://doi.org/10.34385/proc.68.B3-5"
"T. Yamazato","WWRF46 Panel Session","Wireless World Research Forum Meeting 46, Paris, France","Optical wireless communication has been around since the 1980s. Why has its time come now in 5G/6G? What is the change?","Dec. 2021",
"T. Ohtaguro, M. Saito, T. Yamazato","Experimental Verification of 4-ary Pulse Amplitude Modulated Signal Receiver with Noise-added One-bit Analogue-to-digital Converter","International Conference on Materials and Systems for Sustainability (ICMaSS), online","","Nov. 2021",
"T. Yamamoto, T. Yamazato, H. Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","A Cancellation of Inter-LEDs Interference Using Deconvolution In Visible Light Communication between LED Traffic Light and High-speed Image Sensor","IEICE Transactions on Communications, vol.J104-B, no.11, pp.938-948","","Nov. 2021","https://doi.org/10.14923/transcomj.2021JBP3004"
"T. Ohtaguro, M. Saito, T. Yamazato","Experimental Study on Noise Aided 4PAM Receiver with 1bit ADC","Multiple Innovative Kenkyu-kai Association for Wireless Communications (MIKA), Naha/online","","Oct. 2021",
"T. Yamazato, S. Arai, M. Kinoshita","Can Optical Wireless Communication Be a Candidate for Post 5G or 6G?","Communications Society Conference of IEICE, BI-5-5, pp.SS-69 - SS-70, online","","Sep. 2021",
"T. Yamamoto, T. Yamazato, H, Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Comparison of Distance Performances of Modulation Schemes in Intelligent Transport System Image Sensor Communication","IEICE Communications Express,  vol.10, no.8, pp.498-504 ","This study describes intelligent transport image sensor communication (ITS-ISC) systems that use LED arrays as transmitters that imitate traffic lights. Three signal-transmission schemes -luminance modulation, spatial modulation, and combined luminance and spatial modulation- use LED array. However, their suitability for ITS-ISC has not been explored yet. Therefore, we compare the communication performance of these three systems under strong saturation and present the results.","Aug. 2021","https://doi.org/10.1587/comex.2021ETL0032"
"Y. Ohira, T. Yendo, T. Yamazato, S. Arai","[Poster Presentation] A Study on Signal Demodulation Method for LED Visible Light Communication Using Event Based Camera","IEICE Technical Report, WBS2021-25, pp.19-23, online","","Jul. 2021",
"H. Matsunaga, T. Yendo, S. Arai, T. Yamazato","[Poster Presentation] Multiple Access Method for Image-Sensor-Based Visible Light Communication Using Coded Exposure","IEICE Technical Report, WBS2021-29, pp.39-44, online","","Jul. 2021",
"Ruiyi Huang, Takaya Yamazato, Hiraku Okada, Masayuki Kinoshita, Shintaro Arai, Koji Kamakura, Tomohiro Yendo, Toshiaki Fujii","Visible Light Vehicle Ranging using High-speed Stereo Cameras","IEICE Technical Report, CS2021-22, pp.33-37, Yakushima, Japan","This study presents a performance evaluation of range estimation between vehicles and infrastructures in an ITS-VLC system. In the proposed ITS-VLC system, it is easy to simultaneously conduct communication and ranging using stereo cameras. However, the stereo camera calibration becomes a problem during simultaneous communication and ranging due to vehicle vibration. Using the data from LED transmitters and stereo cameras, it can obtain multiple measurements of distance. The monocular-stereo fusion algorithm is applied to visible light ranging in the proposed scheme using particle swarm optimization. We employed real data from the field trial experiment and achieved a ranging accuracy of 60 +- 1.0 m.","Jul. 2021",
"T. Sato, K. Kamakura, M. Kinoshita, T. Yamazato","Light Sources Combination Modulation for Parallel Transmission Image Sensor-based Visible Light Communication","IEICE Technical Report, CS2021-15, pp.9-14, online","","Jul. 2021",
"K. Takahashi, K. Kamakura, M. Kinoshita, T. Yamazato","Luminance Inversion for LCD and Camera Parallel Transmission Visible Light Communication","IEICE Technical Report, CS2021-20, pp.25-30, online","","Jul. 2021",
"R. Huang, T. Yamazato, M. Kinoshita, H. Okada, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Vehicle Distance Measurement based on Visible Light Communication Using Stereo Cameras","IEEE Intelligent Vehicles Symposium, Nagoya, Japan","Visible light communication based intelligent transportation systems (ITS-VLC) show great potential for future urban mobility. This study presents a performance evaluation of range estimation between vehicles and infrastructures in an ITS-VLC system. In the proposed  ITS-VLC system,  it is easy to simultaneously conduct communication  and ranging using stereo cameras. However, the stereo camera calibration becomes a problem during simultaneous communication  and ranging due to vehicle vibration. Using the data from  LED transmitters and stereo cameras, it can obtain multiple measurements of distance. The monocular-stereo fusion algorithm is applied to visible light ranging in the proposed scheme using particle  swarm  optimization. We employed real data from the field trial experiment and achieved a ranging accuracy of 60±1.0 m.","Jul. 2021","https://doi.org/10.1109/IV48863.2021.9575534"
"S. Horiuchi, H. Hatano, K. Sanada, K. Mori, T. Yamazato, S. Arai, M. Saito, K. Tadokoro, H. Tanaka","Error Reduction Method employing Dither Method with Interfering Signals for Distance Estimation Technique","IEICE Technical Report, ITS2021-1, pp.1-6, online","","Jul. 2021",
"M. Hattori, A. Tsujii, T. Kasashima, H. Hatano, T.Yamazato","Method for considering angle error in the position estimation of a moving target using ultrasonic array","IEICE Communications Express, vol.10, no.7, pp.374-379 ","In this study, we propose a method for reducing angle error in position estimation of a moving target. The distance between the transmitting array and target is approximated by two receiving sensors close to the transmitting array. This enables more accurate distance measurement between the receiving sensor and the target.","Jul. 2021","https://doi.org/10.1587/comex.2021XBL0088"
"S. Kamiya, T. Yamazato, H. Okada, T. Fujii, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo","Initial Study of Demodulation Method for ITS Visible Light Communication Using Rolling Shutter Image Sensor","IEICE Technical Report, RCS2021-52, pp.139-144, online","This paper focuses on a receiver of image sensor communication for the intelligent transportation system (ITS). The use of a global shutter image sensor as a receiver has been widely examined in ITS Visible Light Communication so far. However, this image sensor has not been widely used due to its high cost. Therefore, in this paper, the initial study of ITS Visible Light Communication using the rolling shutter image sensor is performed. The rolling shutter method is also used in smart phones, and the ITS Visible Light Communication can be used in many occasions by using it as a receiver. In this study, the communication system using the LED array for the transmitter and the rolling shutter method image sensor for the receiver was constructed in the short distance static environment, and the influence that the photographing condition such as the exposure time gives to the communication quality was confirmed by doing the photographing experiment.","Jun. 2021",
"T. Ohtaguro, M. Saito, T. Yamazato","An experimental study on the demodulation of 4-PAM signals using 1bit ADC with noise","IEICE Technical Report, RCS2021-51, pp.133-138, online","","Jun. 2021",
"S. Arai, W. Tamura, T. Yamazato, H. Hatano, M. Saito, H. Tanaka, and Y. Tadokoro","Circuit Experiment of Photodiode-Type Visible Light Communication Using the Stochastic Resonance Generated by Interfering Light Noise","IEEE International Symposium on Circuits and Systems (ISCAS), pp. 1-5, Daegu, Korea (On-site & Virtual)","This study focuses on visible light communication (VLC) using a photodiode as a receiver. Accurate data transmission by this type of VLC is a challenge because the photodiode cannot detect weak light of subthreshold intensity owing to its insufficient light sensitivity. To overcome this problem, we employ a stochastic resonance, which is a nonlinear phenomenon in which the response characteristics of a system improve as its noise intensity increases, for the receiver of this VLC system. We also employ additive light-emitting diode light, which interferes in the photodiode as intentional noise. As an experimental result, the stochastic resonance was achieved by setting the parameters of the noise source appropriately, and we recovered the weak transmitting signal at the receiver.","May 2021","https://doi.org/10.1109/ISCAS51556.2021.9401452"
"T. Nakamura, C. Ben Naila, K. Kobayashi, H. Okada, M. Katayama","Experimental evaluation of a long distance and high speed ８×８ MIMO optical wireless communication system","IEICE General Conference, A-9-3, p.88, Online","","Mar. 2021",
"Y. Nakashima, T. Yamazato, S. Arai, M. Saito, H. Hatano, H. Tanaka, Y. Tadokoro","A channel estimation and demodulation in a noise-aided 1bit ADC receiver","IEICE General Conference, B-8-27, p.148, online","","Mar. 2021",
"Z. Tang, S. Arai, T. Yamazato","Determination Method of Data Receiving Range for Alamouti-type Space-Time Coding in Image Sensor Communication Using a Rotary LED Transmitter","IEICE General Conference, A-9-4, p.89, online","","Mar. 2021",
"M. Hattori","","","","Mar. 2021",
"S. Kamiya","","","","Mar. 2021",
"Z. Tang, S. Arai, T. Yamazato ","[Poster Presentation] Experimental Evaluation for Alamouti-type Spatio-temporal Coding in Image Sensor Communication Using a Rotary LED Transmitter ","IEICE Technical Report, WBS2020-44, pp.86-91, online","","Mar. 2021",
"S. Ibaraki, T. Toguma, S. Yamaguchi, M. Kinoshita, K. Kamakura, T. Yamazato","[Poster Presentation] Performance Enhancement of Rolling Shutter Based Visible Light Communication by Selective Reception Using Dual Camera","IEICE Technical Report, WBS2020-48, pp.110-114, online","","Mar. 2021",
"D. Goto, F. Yamashita, T. Yamazato, R. Okema, H. Shibayama, K. Itokawa","LEO-MIMO transmission techniques using multiple Low Earth Orbit satellites","IEICE Technical Report, SAT2020-36, p.41, online","","Feb. 2021",
"S. Arai, M. Kinoshita, T. Yamazato","Optical Wireless Communication: A Candidate 6G Technology?","IEICE Transactions on Fundamentals, vol.E104-A , no.1, pp.227-234","We discuss herein whether an optical wireless communication (OWC) system can be a candidate for post 5G or 6G cellular communication. Almost once per decade, cellular mobile communication is transformed by a significant evolution, with each generation developing a distinctive concept or technology. Interestingly, similar trends have occurred in OWC systems based on visible light and light fidelity (Li-Fi). Unfortunately, OWC is currently relegated to a limited role in any 5G scenario, but the debate whether this is unavoidable has yet to be settled. Whether OWC is adopted post 5G or 6G is not the vital issue; rather, the aim should be that OWC coexists with 5G and 6G communication technologies. In working toward this goal, research and development in OWC will continue to extend its benefits and standardize its systems so that it can be widely deployed in the market. For example, given that a standard already exists for a visible-light beacon identifier and Li-Fi, a service using this standard should be developed to satisfy user demand. Toward this end, we propose herein a method for visible-light beacon identification that involves using a rolling shutter to receive visible-light communications with a smartphone camera. In addition, we introduce a rotary LED transmitter for image-sensor communication.","Jan. 2021","https://doi.org/10.1587/transfun.2020WBI0001"
"R. Okema, D. Goto, T. Yamazato, F. Yamashita, H. Shibayama","Deep Learning Detection for superimposed control signal in LEO-MIMO","IEEE Global Communications Conference (GLOBECOM), Taipei, Taiwan","Multiple-input multiple-output (MIMO) communication systems using multiple low-Earth orbital (LEO) satellites achieve higher capacity than conventional LEO systems. However, in previous research, control signals are allocated to a different frequency band for each satellite signal in order to estimate its Doppler frequency. The increase in the number of satellites reduces unoccupied MIMO signal bandwidth and hence the overall capacity. This study aimed to prevent such capacity reduction by introducing the superimposition of control signals. Such control signals occupy a frequency bandwidth of the equivalent of only one control signal; therefore, they can prevent the reduction of the overall capacity. The main challenge is estimating the satellites' Doppler frequencies from the waveforms of Doppler-affected superimposed control signals. To overcome this challenge, we propose the adoption of a deep learning technique.","Dec. 2020","https://doi.org/10.1109/GLOBECOM42002.2020.9348012"
"R. Huang, M. Kinoshita, T. Yamazato, H. Okada, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Performance Evaluation of Range Estimation for Image Sensor Communication Using Phase-only Correlation","IEEE GLOBECOM Workshop on Optical Wireless Communications (OWC), Taipei, Taiwan","Stereo cameras, serving as the “eyes” of automotive vehicles, can determine the distance between objects and the vehicles. In this paper, stereo cameras are introduced into image-sensor-based visible light communication (IS-VLC) systems, in which the combination of VLC and stereo ranging shows promising prospects for intelligent transport systems. However, one of the problems of IS-VLC stereo ranging is that the luminance level of LEDs in the captured images would greatly affect disparity estimation, which would result in inaccurate range estimation. This paper gives the performance evaluation of this problem using phase-only correlation algorithm with luminance election. The proposed scheme using stereo cameras exhibited a ranging accuracy of 60±0.15 m in static conditions.","Dec. 2020","https://doi.org/10.1109/GCWkshps50303.2020.9367540"
"T. Yamamoto, T. Yamazato, H, Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","A Comparison of Distance Performances of Modulation Schemes in an ITS Image Sensor Communication","International Conference on Emerging Technologies for Communications (ICETC), B4-1, online","Image sensor communication uses an LED light as a transmitter and an image sensor as a receiver. LED light sources are widely used in traffic lights and car tail lights. In addition, since image sensors are used for driving assistance and drive recorder applications, image sensor communication can be used in parallel with other intelligent transport systems(ITS) applications.  This study describes an ITS image sensor communication (ITS-ISC) system, which uses an LED array as a transmitter to imitate traffic lights. There are three schemes of signal transmission using an LED array: luminance modulation, spatial modulation, and both luminance and spatial modulation. However, which of these schemes is the most suitable for ITS-ISC is not yet considered. In this study, we compare the communication performance of these three modulation schemes, present-ing the configuration of an LED array capture simulator and performance comparison results.","Dec. 2020","https://doi.org/10.34385/proc.63.B4-1"
"M.Hattori, A. Tsujii, T. Kasashima, H. Hatano, T. Yamazato","Method for considering angle error in the position estimation of a moving target using ultrasonic array","International Conference on Emerging Technologies for Communications (ICETC), I2-4, Online","In this study, a method for reducing the angle error in the position estimation of a target is proposed. In this method, the distance between the transmitting array and the target approximates two receiving sensors close to the transmitting array. This enables the attainment of a more accurate distance between the receiving sensor and the target.","Dec. 2020","https://doi.org/10.34385/proc.63.I2-4"
"S. Arai, T. Yamazato, H. Hatano, M. Saito, H. Tanaka, Y. Tadokoro","Preliminary Circuit Experiment of Photodiode-Type Visible Light Communication by Stochastic Resonance Using Interfering Light as Intentional Noise","International Symposium on Nonlinear Theory and its Application (NOLTA), pp.97-100, online","","Nov. 2020",
"S. Horiuchi, H. Hatano, K. Sanada, K. Mori, T. Yamazato, A. Shintaro, M. Saito, Y. Tadokoro, H. Tanaka","RSSI-based Distance Estimation Enhanced by Interference Signals","International Symposium on Nonlinear Theory and its Application (NOLTA), pp.101-104, online","","Nov. 2020",
"M. Saito, T. Ohtaguro, Y. Nakashima, T. Yamazato, S. Arai, H. Hatano, H. Tanaka, Y. Tadokoro","A Study on Required FFT Sizes for Demodulation of OFDM Signals by Intentionally Added Noise and 1bit ADC","International Symposium on Nonlinear Theory and its Application (NOLTA), pp.105-108, online","","Nov. 2020",
"T. Arisue, M. Kinoshita, T. Yamazato, H. Okada, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Experimental Performance Evaluation of Image Sensor Based Visible Light Communication Using a DMD Projector in a Driving Condition","IEICE Transactions on Fundamentals, vol.J103-A, no.11, pp.283-286","","Nov. 2020","https://doi.org/10.14923/transfunj.2020JAL2005"
"T. Yamazato","Image sensor communications for automotive intelligence","International Conference on Optoelectronic and Microelectronic Technology and Application 2020, Nanjing, China","Almost once per decade, cellular mobile communication is transformed by a significant evolution, with each generation developing a distinctive concept or technology.
Interestingly, similar trends have occurred in visible light communication systems and vehicle automation.
In this talk, the presenter looks back to the brief history of vehicle automation and related communication technologies. He then introduces visible light communication and its application for automotive intelligence. Some of his research results on VLC for automotive applications will also be provided.  ","Oct. 2020",
"R. Okema, D. Goto, T. Yamazato, F. Yamashita, K. Itokawa","Doppler frequency estimation of Superimposed Control Signal of multiple satellites by Deep Learning in LEO-MIMO","IEICE Technical Report, SAT2020-19, pp.47-52, online","This paper focuses on satellite MIMO (Multi-Input Multi-Output) technology to increase the capacity of Low Earth Orbit (LEO) satellite communications. In previous research, LEO-MIMO communication requires control signals to estimate the Doppler frequencies of each satellite. The control signal is allocated a different frequency band to avoid inter-carrier interference with other signals. However, as the number of communication LEO satellites increases, the bandwidth of the control signal becomes wider and the bandwidth for the MIMO signal becomes narrower. In other words, the problem is that the capacity of LEO-MIMO decreases with the increase in the number of communication LEO satellites. Therefore, this study attempts to suppress the communication capacity reduction by superimposing control signals. This technique can improve the bandwidth of the control signal is constant regardless of the number of satellites, and suppress capacity reduction regardless the number of satellites. On the other hands, superimposed control signals technique degrades the Doppler frequency estimation accuracy due to inter-carrier interference. To tackle of the problem, we propose the novel Doppler frequency estimation using Deep learning techniques. This paper deal with Doppler shift estimation for control signals with three or more superimposed waveforms and unlearned waveforms. In order to improve the estimation accuracy, we employed convolutional neural networks in addition to deep neural networks and compared their performance.","Aug. 2020",
"Z. Tang, S. Arai, T. Yendo, D. He, T. Yamazato","Sequential Maximum Likelihood Decoding Incorporating Reliability Determination for Image Sensor Communication","IEICE Communications Express, vol.9, no.8, pp.365-370","","Aug. 2020","https://doi.org/10.1587/comex.2020XBL0058"
"T. Yamazato","Current Status and Issues of Visible Light Communications","The 2nd Geospatial Information Seminar in FY2020 co-sponsored by Hokushinetsu Branch of the Japanese Society of Photogrammetry","","Jul. 2020",
"Y. Nakashima, T. Yamazato, S. Arai, M. Saito, H. Hatano, H. Tanaka, Y. Tadokoro","An Analysis of a Noise-aided One-bit Analog-to-Digital Converter for a Multi-Antenna Receiver ","IEICE Technical Report, CS2020-20, pp.25-26","","Jul. 2020",
"T. Yamazato","Visible light beacon","Signal Processing in Photonic Communications (SPPCom), The 2020 OSA Advanced Photonics Congress, 2020., Online","Since the LED (light-emitting diode) is a semiconductor device, high-speed modulation is possible. The communication for transmitting information by blinking (modulating) the LED at such a high speed that the human eye cannot recognize is called visible light communication (VLC) [1]. The visible light beacon is an exciting application of VLC that transmits the short ID.  In this article, the trend of the visible light beacon, a part of VLC is described.","Jul. 2020",
"K. Takahashi, K. Kamakura, M. Kinoshita, T. Yamazato","Nonlinear Transform for Parallel Transmission for Image-Sensor-based Visible Light Communication","IEEE International Conference on Communications (ICC), online","","Jun. 2020","https://doi.org/10.1109/ICC40277.2020.9148927"
"Y. Nakashima, T. Yamazato, S. Arai, M. Saito, H. Hatano, H. Tanaka, Y. Tadokoro","A Comparison between a Noise-Aided 1bit ADC Receiver and a Linear Receiver","IEICE General Conference, B-8-38,  p.185, Hiroshima","","Mar. 2020",
"Y.H.J Lai, A. Tsujii, T. Kasashima, T. Yamazato, H. Hatano","Distance and Velocity Measurement of Approaching Target Via 45 kHz Ultrasonic Sensor Array","IEICE General Conference, A-4-2, p.35, Hiroshima, Japan","Ultrasonic sensors are an attractive option for target detection purposes due to their low cost, functionality in all light and weather conditions and easy implementation. Multiple ultrasonic sensors arranged in an array were shown to strengthen ultrasonic waves and increase detection range at static conditions in an indoor environment. In this article, we report a conducted experiment on a moving target in an outdoor environment to analyze its performance and will aim to use the obtained data for localization in future works.","Mar. 2020",
"R. Huang, M. Kinoshita, T. Yamazato, H. Okada, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Range Estimation of LED Transmitter Using Phase-Only Correlation for ITS-VLC System via High-speed Stereo Cameras","IEICE General Conference, A-9-21, p.100, Hiroshima, Japan","","Mar. 2020",
"M. Saito, Y. Nakashima, T. Yamazato, S. Arai, H. Hatano, H. Tanaka, Y. Tadokoro","A Study on FFT Sizes of Demodulating OFDM Signals by Intentionally Added Noise and 1bit ADC","IEICE General Conference, A-9-11, p.90, Hiroshima","","Mar. 2020",
"M. Takaki, S. Arai, T. Yamazato, H. Hatano, M. Saito, H. Tanaka, Y. Tadokoro","A Study on Photo-Diode-Type Visible Light Communication by Stochastic Resonance Using Interfering Light as Noise","IEICE General Conference, A-9-23, p.102, Hiroshima","","Mar. 2020",
"S. Horiuchi, H. Hatano, K. Sanada, K. Mori, T. Yamazato, A. Shintaro, M. Saito, Y. Tadokoro, H. Tanaka","A Study on Applying Dither Method with Interference to RSSI Based Distance Estimation","IEICE General Conference, A-14-1, p.118, Hiroshima","","Mar. 2020",
"R. Okema, D. Goto, T. Yamazato, F. Yamashita, H. Shibayama ","Doppler Frequency Estimation of Two Superimposed LEO-MIMO’s Control Signals by Convolutional neural networks","IEICE General Conference, B-3-7, p.199, Hiroshima, Japan","","Mar. 2020",
"T. Yamazato","Visible Light Communications for Automotive Intelligence","The Optical Networking and Communication Conference & Exhibition (OFC2020), San Diego, USA","","Mar. 2020",
"T. Arisue, T. Yamazato, H, Okada, M. Kinoshita, S. Arai, T. Yendo, K. Kamakura, T. Fujii","BER Measurement for Transmission Pattern Design of ITS Image Sensor Communication Using DMD Projector","IEEE Consumer Communications and Networking Conference (CCNC), Las Vegas, US","This paper presents an image sensor communication (ISC) using a digital micromirror device (DMD) projector as a transmitter. In particular, we focus on ISC for intelligent transport systems (ITSs) because DMD projectors are expected to be used in road traffic, such as vehicle headlights, street lights, and traffic signs. The DMD projector controls light patterns by switching tilt of micromirrors at high speed. Compared to the conventional LED array transmitter, DMD projector can design and alter the shape of the light pattern and data rate of transmission more easily. In the proposed system, the data rate can be easily increased by increasing the number of multiplexes. However, as the number of multiplexes is increased, the number of received pixels on the image sensor is decreased, and thus the performance of symbol detection deteriorates. Therefore, the purpose of this paper is to examine the relation between the num- ber of received pixels per cell and communication performance for transmission pattern design. Hence, we experimentally clarify this relation using our prototype system via a DMD projector and a high-speed camera.","Jan. 2020","https://doi.org/10.1109/CCNC46108.2020.9045147"
"R. Huang, T. Yamazato, H. Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Range Estimation for Traffic Light based on Visible Light Communication using Stereo Cameras","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.49-52, Toyota, Japan","The recognition of traffic light is important in self-driving cars nowadays. In this paper, we proposed a ranging method for traffic light on the road based on stereo ranging. By introducing the idea of visible light communication, it is simple to extract the traffic light from a complicated background. Experimental result shows that it can work well for the real traffic light.","Dec. 2019",
"T. Yamamoto, T. Yamazato, H, Okada, M. Kinoshita, K. Kamakura, S. Arai, T. Yendo, T. Fujii","Nonlinearity Mitigation of Received Luminance Using Inverse Pattern of the LED array in Image Sensor Communication","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.53-56, Toyota, Japan","In this research, we describe visible light communication (VLC) using an LED array as a transmitter and a high-speed image sensor as a receiver. Such VLC is called an image sensor communication (ISC), and it assigns a symbol to the multilevel brightness of the LED. An issue is a nonlinearity caused by both LED and image sensors. In order to increase the data rate, it is necessary to handle this nonlinearity. In this paper, we first show the nonlinearity by experimental results. We then show that we can ease such nonlinearity by an introduction of an inverse pattern used to track the LED array. We show by the experimental result that the inverse pattern can mitigate the nonlinearity and thus improve the data rate.","Dec. 2019",
"K. Yamamura, K. Kamakura, M. Kinoshita, T. Yamazato","Three-Frame Demodulation for Non-Synchronous Square Wave Quadrature Amplitude Modulation","Workshop on Optical Wireless Communication for Smart City (OWC2), pp.33-36, Toyota, Japan","","Dec. 2019",
